Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Học viện an ninh,35,7480202,An toàn thông tin,A00,21.22,Điểm trúng tuyển nữ; Phía Nam
Học viện an ninh,36,7480202,An toàn thông tin,A01,22.0,Điểm trúng tuyển nữ; Phía Nam
Học viện an ninh,37,7720101,Y khoa,B00,15.64,Điểm trúng tuyển nam; Phía Bắc
Học viện an ninh,38,7720101,Y khoa,B00,15.1,Điểm trúng tuyển nam; Phía Nam
Đại học sư phạm,1,7140201A,Giáo dục mầm non,M00,22.08,TTNV <= 1
Đại học sư phạm,2,7140201B,Giáo dục mầm non - SP Tiếng Anh,M01,19.25,TTNV <= 1
Đại học sư phạm,3,7140201C,Giáo dục mầm non - SP Tiếng Anh,M02,19.13,TTNV <= 1
Đại học sư phạm,4,7140202A,Giáo dục Tiểu học,D01; D02; D03,26.15,TTNV <= 1
Đại học sư phạm,5,7140202B,Giáo dục Tiểu học - SP Tiếng Anh,D01,26.55,TTNV <= 3
Đại học sư phạm,6,7140203C,Giáo dục Đặc biệt,C00,27.5,TTNV <= 16
Đại học sư phạm,7,7140203D,Giáo dục Đặc biệt,D01; D02; D03,24.85,TTNV <= 18
Đại học sư phạm,8,7140204B,Giáo dục công dân,C19,27.5,TTNV <= 2
Đại học sư phạm,9,7140204C,Giáo dục công dân,C20,27.5,TTNV <= 7
Đại học sư phạm,10,7140205B,Giáo dục chính trị,C19,28.5,TTNV <= 2
Đại học sư phạm,11,7140205C,Giáo dục chính trị,C20,28.5,TTNV <= 6
Đại học sư phạm,12,7140206A,Giáo dục Thể chất,T01,19.55,TTNV <= 2
Đại học sư phạm,13,7140208C,Giáo dục Quốc phòng và An ninh,C00,26.0,TTNV <= 1
Đại học sư phạm,14,7140208D,Giáo dục Quốc phòng và An ninh,D01; D02; D03,23.85,TTNV <= 6
